timestamp_ms,relative_pitch_deg
1074,0.0
3074,0.9299999999999999
4074,-0.010000000000000009
5075,0.98
6075,0.8200000000000001
7075,0.020000000000000018
8075,0.28
9075,0.55
10075,-0.44000000000000006
11075,0.47
12075,0.89
13075,0.97
14075,0.6
15075,0.72
16075,0.74
17075,0.64
18075,0.64
19075,1.08
20075,0.76
21075,0.26
22075,0.6900000000000001
23075,0.8300000000000001
24075,0.98
25075,1.0
26075,0.5800000000000001
27075,0.52
28075,1.54
29075,1.17
30075,1.24
31075,0.81
32075,0.67
33075,1.12
34076,1.37
35076,1.15
36076,1.22
37076,1.1
38076,0.8200000000000001
39076,0.94
40076,1.12
41076,1.53
42076,1.04
43076,1.35
44076,1.6400000000000001
45077,1.3399999999999999
46077,0.8
47077,1.01
48077,1.8399999999999999
49077,0.88
50077,1.63
51077,1.6800000000000002
52077,1.71
53078,1.32
54078,1.87
55078,1.6800000000000002
56078,1.9900000000000002
57078,1.6800000000000002
58079,1.21
59079,1.49
60079,2.21
61079,1.9700000000000002
62080,2.18
63080,2.02
64080,1.77
65080,1.58
66080,1.54
67081,1.3900000000000001
68081,1.6099999999999999
69081,1.8599999999999999
70081,1.73
71081,1.6099999999999999
72081,1.7200000000000002
73081,1.8599999999999999
74081,1.22
75082,1.5
76083,1.29
77083,0.71
78083,1.06
79083,1.21
80083,1.13
81083,2.08
82083,1.1
83084,1.69
84084,1.51
85085,1.47
86085,2.27
87085,1.8599999999999999
88085,1.9900000000000002
89085,1.1400000000000001
90085,1.5899999999999999
91085,1.7999999999999998
92085,2.11
93085,1.5899999999999999
94086,1.8399999999999999
95087,1.13
96087,1.44
97087,1.46
98087,1.6400000000000001
99087,1.57
100087,1.35
101088,1.58
102088,2.38
103088,1.5899999999999999
104088,1.56
105089,1.7600000000000002
106089,1.6
107089,1.33
108089,1.83
109089,1.73
110089,1.98
111089,2.45
112089,1.96
113089,1.3
114089,1.33
115089,1.7799999999999998
116090,1.29
117090,-3.02
118090,-5.15
119090,6.029999999999999
