timestamp_ms,relative_pitch_deg
0,0.00
1700,1.40
2705,3.70
3708,14.46
4711,4.43
5715,17.19
6718,4.16
7722,11.12
8725,8.44
9728,10.35
10731,13.57
11734,15.03
12739,3.57
13742,1.70
14745,10.36
15747,10.13
16752,10.91
17755,20.91
18759,8.56
19762,11.11
20765,12.18
21769,7.19
22772,9.13
23775,9.64
24779,9.69
25783,9.49
26785,8.76
27789,9.87
28793,9.37
29797,9.76
30800,9.55
31803,9.45
32807,8.26
33808,9.17
34812,8.31
35816,9.80
36820,10.04
37824,9.55
38826,9.18
39831,9.53
40834,8.79
41839,8.53
42841,9.45
43845,9.18
44848,8.79
45852,8.98
46854,10.22
47858,8.66
48862,8.70
49864,9.28
50868,8.57
51870,7.71
52874,8.95
53876,8.61
54880,8.71
55883,8.40
56887,8.78
57890,8.12
58894,7.60
59897,8.57
60900,8.62
61903,7.92
62906,7.95
63911,7.84
64913,7.25
65917,7.06
66921,8.49
67923,11.81
68926,11.48
69930,11.97
70933,10.96
71937,10.88
72940,10.73
73944,10.69
74947,10.25
75951,10.74
76954,10.97
77956,10.49
78959,10.73
79964,10.99
80966,10.40
81971,9.59
82975,10.09
83978,10.29
84982,10.08
85987,10.32
86989,10.19
87992,11.01
88996,10.38
89999,10.27
91004,10.24
92006,9.96
93010,10.00
94013,9.80
95016,10.17
96020,10.32
97022,9.56
98025,9.76
99029,9.95
100032,9.69
101035,9.32
102038,10.59
103041,10.01
104044,9.45
105047,10.20
106051,10.70
107055,9.12
108057,9.30
109062,9.74
110065,8.85
111068,9.33
112072,8.89
113073,9.97
114077,9.24
115081,9.18
116085,9.38
117088,9.60
118092,9.09
119096,8.96
120098,9.41
121102,8.73
122104,8.70
123107,9.06
124110,8.74
