pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8
639,678,622,554,637,632,743,581
638,679,618,554,637,632,743,577
637,680,620,554,639,633,744,579
640,682,622,555,638,633,744,582
639,682,622,554,638,633,744,583
639,682,621,554,639,634,744,582
639,683,620,551,640,635,745,582
638,680,623,557,639,635,744,584
636,676,624,560,639,635,745,585
636,676,625,561,639,635,745,585
635,679,626,558,639,633,742,579
634,684,615,557,644,633,734,575
637,685,618,548,648,635,740,568
641,686,619,547,649,636,740,572
642,686,619,547,646,638,742,573
641,686,619,551,646,638,743,575
640,685,620,552,645,638,744,576
638,686,621,551,643,639,744,577
640,686,621,551,644,639,744,577
640,687,620,551,645,639,742,573
641,687,622,549,644,637,741,573
641,688,624,550,644,637,741,573
641,688,622,549,645,637,739,567
639,685,624,550,645,639,743,573
641,686,623,549,645,639,742,574
640,686,620,548,645,639,742,573
638,679,611,540,654,638,743,570
636,679,615,546,651,639,743,575
636,677,617,547,642,638,745,577
637,680,618,547,643,637,745,577
637,681,618,548,643,638,745,579
638,682,619,547,644,638,744,579
638,682,620,547,644,638,745,580
638,682,620,547,644,637,744,578
635,679,621,548,644,639,745,581
635,681,621,550,644,638,745,582
635,681,621,550,644,638,745,581
636,682,621,549,644,638,745,581
637,682,620,548,644,638,746,580
637,682,618,546,645,638,745,580
637,682,619,549,644,638,745,581
638,682,619,547,645,638,746,581
637,681,621,548,647,639,746,581
637,681,620,545,646,638,746,580
637,682,621,545,646,639,746,582
639,683,616,543,648,641,746,578
644,689,615,539,660,644,742,567
643,690,619,544,646,635,741,570
642,687,618,545,645,636,742,574
642,688,618,544,646,637,741,573
640,687,621,542,646,637,742,575
638,687,621,542,643,637,743,576
637,687,621,545,644,637,744,575
638,685,619,544,645,637,743,575
637,685,621,543,645,637,744,576
638,685,621,543,646,637,744,576
638,686,621,544,645,637,743,574
638,687,622,543,646,637,742,575
639,687,620,542,647,637,743,572
640,687,619,541,646,637,741,565
641,688,621,539,648,637,740,564
641,688,622,534,647,637,741,564
640,688,623,538,647,636,742,567
640,688,621,536,648,637,742,564
641,688,623,534,648,638,741,562
641,688,623,533,648,637,742,563
641,688,623,536,648,636,742,565
641,688,622,535,649,637,742,565
643,689,621,532,649,638,742,564
642,688,623,534,648,637,743,565
640,688,623,534,648,637,743,567
641,690,624,532,648,636,741,559
642,690,626,533,648,636,742,560
642,690,624,531,648,637,743,561
642,689,625,536,648,637,742,564
642,689,626,536,648,637,742,562
642,689,625,537,648,637,743,564
642,689,625,537,647,637,743,565
642,689,624,533,648,637,743,563
643,689,626,536,649,637,742,559
643,689,624,536,649,638,742,562
643,690,626,535,649,638,743,563
643,689,626,538,649,638,743,564
643,689,626,538,648,638,743,564
643,689,625,536,649,637,743,562
642,689,626,539,648,638,743,564
643,689,624,536,648,638,743,565
643,689,625,540,648,637,743,564
643,689,625,538,648,638,744,565
643,688,625,538,647,637,743,568
643,688,623,540,647,637,742,566
643,688,621,538,648,637,743,565
643,687,623,538,647,636,743,566
642,688,624,537,646,636,743,567
643,687,624,540,647,636,742,566
643,687,623,539,647,637,743,566
641,687,623,536,645,637,743,566
641,687,623,534,645,637,743,565
642,688,624,539,646,637,744,565
641,687,623,538,647,638,744,565
642,688,624,536,648,638,745,565
642,687,625,534,648,638,743,565
643,687,625,536,648,638,744,565
643,687,624,536,649,639,744,564
650,692,613,498,680,676,720,507
652,694,603,482,677,680,730,511
