timestamp_ms,relative_pitch_deg
1,0.0
1701,-0.91
2706,0.72
3709,17.73
4712,26.9
5715,12.71
6719,13.92
7722,18.05
8725,8.63
9730,8.13
10732,7.36
11736,5.37
12739,9.280000000000001
13743,8.24
14746,8.020000000000001
15749,8.08
16753,5.77
17755,4.02
18759,4.27
19762,5.18
20767,4.72
21771,3.3
22773,4.08
23776,5.04
24779,3.4299999999999997
25784,6.38
26786,-1.3399999999999999
27788,2.51
28792,6.22
29794,1.98
30799,2.6399999999999997
31801,4.1
32805,3.33
33808,2.4099999999999997
34812,2.26
35815,1.3900000000000001
36818,2.13
37823,9.270000000000001
38827,3.4
39830,3.81
40833,2.1399999999999997
41837,4.66
42839,4.46
43844,3.36
44845,2.84
45848,3.23
46852,4.71
47855,3.8899999999999997
48858,3.62
49862,3.56
50865,2.54
51867,4.3
52870,2.46
53873,2.53
54877,2.44
55880,0.84
56884,3.86
57886,6.79
58890,2.55
59894,3.44
60897,3.7199999999999998
61900,5.41
62904,0.89
63908,3.51
64912,4.07
65915,5.78
66918,6.06
67921,4.97
68924,6.26
69927,9.280000000000001
70932,9.21
71934,5.7
72938,5.77
73942,5.67
74945,6.22
75948,9.770000000000001
76952,7.12
77955,8.08
78958,8.790000000000001
79961,4.74
80966,4.79
81969,6.9399999999999995
82972,6.17
83975,6.64
84979,5.91
85982,8.790000000000001
86986,9.42
87987,9.46
88992,8.64
89995,5.41
90997,6.33
92001,6.92
93003,7.24
94008,12.14
95010,11.22
96015,5.89
97016,5.32
98020,7.05
99025,9.46
100028,12.020000000000001
101032,8.610000000000001
102033,9.42
103038,4.53
104041,6.59
105045,6.74
106048,7.05
107052,8.65
108055,13.120000000000001
109057,15.980000000000002
110061,13.06
111065,12.260000000000002
112068,9.040000000000001
113071,8.71
114075,7.01
115077,11.790000000000001
116081,11.010000000000002
117085,10.8
118089,9.16
119092,7.75
120095,9.83
121098,10.16
122101,7.930000000000001
123105,10.25
124107,11.9
125111,9.940000000000001
126115,8.92
127117,10.48
128121,11.020000000000001
129123,11.24
130127,14.46
131129,12.42
132133,10.63
133137,16.24
134140,4.1499999999999995
135142,10.71
