pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8
561,694,707,769,568,639,711,809
561,693,707,767,569,641,715,811
563,694,708,768,570,643,715,812
564,696,708,770,571,643,715,813
565,695,708,770,573,644,716,815
564,696,708,772,572,643,716,814
565,696,709,772,573,644,717,816
565,695,707,773,573,644,719,818
566,696,710,774,574,645,719,818
567,696,709,774,574,645,720,820
568,696,710,776,574,642,721,822
568,697,709,773,575,644,722,821
569,698,711,776,577,644,721,821
569,698,711,778,577,644,721,824
569,697,712,778,576,642,722,824
569,697,712,778,576,643,722,825
569,698,713,779,577,643,723,825
569,699,713,779,576,645,724,826
569,698,713,779,577,644,725,826
569,697,714,779,576,639,724,828
570,696,713,778,576,641,725,826
570,698,711,779,576,641,725,828
571,698,712,779,576,643,726,828
569,699,712,778,577,643,727,828
570,700,713,778,577,643,727,830
570,701,714,782,577,643,727,830
572,702,714,781,579,643,728,830
571,702,714,781,576,642,728,831
571,702,715,781,577,643,729,832
572,702,715,781,578,643,729,831
572,702,715,781,578,644,729,832
572,702,715,781,578,644,730,832
571,701,715,781,579,644,730,832
572,701,715,782,578,644,729,831
571,701,715,782,578,645,730,832
572,702,716,782,578,645,730,832
572,702,717,783,578,646,731,832
572,702,717,783,578,645,731,833
572,702,717,783,578,646,731,834
572,702,718,783,578,645,731,834
572,702,717,783,578,646,732,834
573,702,717,783,578,646,733,835
573,702,718,783,578,645,733,834
572,702,718,783,578,646,733,834
572,702,719,785,578,647,734,834
572,702,719,784,578,644,734,833
572,701,717,783,577,646,735,835
571,702,720,785,578,645,735,834
572,702,720,782,580,645,736,833
572,703,719,783,579,645,737,835
572,704,720,785,579,646,737,835
572,704,721,786,579,646,737,834
572,703,721,786,578,646,736,835
572,703,721,786,579,647,738,835
572,703,721,785,579,646,737,834
571,703,721,786,579,647,737,835
570,703,722,786,580,646,737,835
571,703,722,787,580,646,737,835
572,703,722,787,580,645,736,836
571,703,722,787,579,646,736,835
571,703,722,788,580,646,736,834
571,703,722,788,580,647,736,834
572,703,722,788,579,648,736,834
572,702,720,787,580,646,737,836
572,703,720,786,579,647,737,834
572,704,721,785,579,646,737,834
572,703,722,787,577,646,737,835
572,703,722,787,577,646,737,835
572,703,721,787,578,647,737,836
572,703,721,788,579,648,738,836
572,703,721,788,579,648,738,836
572,704,721,788,579,648,737,835
572,704,721,789,580,647,738,836
572,704,721,789,579,648,738,836
573,704,722,789,580,648,739,834
573,703,721,789,579,648,739,836
572,704,721,789,580,648,739,836
573,705,722,790,579,648,738,836
573,705,722,790,579,647,739,835
572,704,721,790,580,648,740,837
572,705,721,790,580,647,739,837
573,705,721,790,580,647,739,834
572,705,721,791,580,648,740,837
572,705,721,791,581,648,739,836
573,705,721,791,580,648,739,835
572,705,721,791,581,648,740,836
573,705,721,791,581,645,740,837
574,705,721,791,580,648,740,835
573,705,721,791,581,646,740,836
573,705,721,790,581,647,740,836
573,705,721,790,580,647,740,837
573,705,721,789,580,647,740,835
573,704,721,790,580,647,740,837
573,705,721,790,580,647,740,837
573,705,721,789,580,648,740,835
572,705,721,790,580,648,740,837
572,704,721,790,579,648,740,837
572,704,720,788,579,648,741,837
573,704,721,788,578,648,741,837
573,704,721,788,579,648,740,838
573,704,721,789,579,648,740,838
574,704,721,788,578,648,740,836
573,703,721,788,577,648,740,838
573,704,720,787,577,648,740,837
