timestamp_ms,relative_pitch_deg
1074,0.0
3074,1.2
4075,0.42
5075,0.58
6075,0.58
7075,0.43
8075,0.6799999999999999
9076,0.3
10076,0.54
11076,1.1400000000000001
12076,1.05
13076,1.26
14076,1.28
15076,0.84
16076,1.22
17076,1.1400000000000001
18077,1.02
19077,1.63
20077,1.1099999999999999
21079,1.6800000000000002
22079,1.74
23079,1.31
24080,1.48
25081,1.9
26081,1.55
27081,2.04
28081,1.85
29082,2.0300000000000002
30082,1.95
31082,2.04
32082,1.84
33083,2.1100000000000003
34084,1.78
35084,2.16
36084,2.1799999999999997
37084,2.06
38084,2.66
39084,2.13
40085,1.95
41085,2.54
42085,2.3899999999999997
43085,2.3899999999999997
44085,2.46
45085,2.4299999999999997
46086,2.46
47086,2.89
48086,2.27
49087,2.06
50087,2.84
51087,2.3
52087,2.51
53087,3.02
54087,2.51
55088,2.45
56088,3.1
57088,2.4
58088,2.41
59088,2.93
60088,2.69
61088,2.42
62088,3.1
63088,2.7199999999999998
64088,2.37
65089,3.14
66091,2.92
67091,2.99
68091,3.06
69091,2.88
70091,2.91
71092,3.27
72092,3.05
73092,2.81
74093,3.01
75094,3.17
76094,3.72
77094,3.13
78094,2.92
79094,3.49
80094,3.08
81094,3.16
82094,3.65
83094,3.51
84094,3.27
85094,3.11
86094,3.12
87094,3.27
88095,3.73
89095,3.43
90095,3.8
91095,3.68
92095,3.09
93095,3.46
94095,3.31
95095,3.13
96095,3.59
97095,3.8
98095,3.39
99095,3.75
100096,4.23
101096,3.66
102096,3.84
103096,4.05
104096,3.92
105096,4.0
106096,4.01
107096,4.42
108097,3.86
109097,4.1899999999999995
110097,4.140000000000001
111097,4.279999999999999
112097,4.29
113098,4.0600000000000005
114098,4.0
115098,3.95
116098,4.54
117098,4.470000000000001
118099,4.54
119099,4.51
120099,3.99
121099,3.98
122099,4.73
