timestamp_ms,relative_pitch_deg
2,0.0
1698,-0.13
2701,-7.59
3705,6.66
4708,4.260000000000001
5713,2.89
6716,2.63
7719,2.9
8723,2.85
9727,2.62
10730,2.9
11735,3.55
12739,3.79
13742,4.62
14747,-0.05
15749,-0.79
16753,0.23
17755,-1.15
18760,-1.73
19763,-1.21
20767,-1.6400000000000001
21771,-1.31
22774,-1.74
23779,-2.04
24780,-2.6
25785,-2.55
26788,-0.79
27792,-2.81
28794,-2.78
29797,-2.84
30802,-2.36
31806,-2.79
32809,-1.54
33812,6.140000000000001
34816,7.430000000000001
35819,5.48
36822,0.94
37824,-0.65
38829,-1.43
39832,-1.32
40836,-1.65
41839,-1.93
42841,-0.61
43846,-1.91
44849,-2.03
45853,-1.84
46857,-2.0
47860,-1.21
48863,-0.61
49867,-0.8300000000000001
50872,-0.87
51873,-1.22
52877,-0.22999999999999998
53880,-0.6
54883,-1.11
55887,-1.32
56889,-0.7000000000000001
57893,-1.06
58896,-0.78
59899,-0.56
60902,0.31
61907,-0.30000000000000004
62909,-0.4
63913,-0.45
64916,-0.93
65919,-0.78
66923,-0.27
67928,-0.34
68932,-0.71
69934,-0.15
70938,-0.45
71940,-0.66
72945,-0.6
73947,-0.01
74951,-0.66
75956,-0.9
76958,0.18000000000000002
77962,1.1199999999999999
78965,-0.46
79969,0.61
80972,-0.91
81975,-0.21
82979,-0.16999999999999998
83982,-3.42
84985,-1.79
85989,-1.06
86992,-0.88
87995,-0.4
88999,-0.62
90001,-0.61
91005,0.11
92007,-0.63
93012,-0.04
94015,-0.36000000000000004
95018,-0.22999999999999998
96021,-0.11
97023,-1.2
98027,0.25
99030,0.2
100034,-0.46
101036,-0.29000000000000004
102041,-0.5800000000000001
103044,-1.22
104047,-0.84
105051,-0.6
106054,0.14
107057,-0.02
108061,-0.43
109065,0.6
110069,0.27999999999999997
111073,-1.18
112077,-0.6900000000000001
113080,0.08
114084,-0.1
115086,-0.49
116090,0.06
117093,-0.19999999999999998
118095,0.2
119099,-0.13999999999999999
120102,-0.19
121105,0.43
122109,-0.04
123112,-0.30000000000000004
124114,-0.01
125118,0.54
126120,-0.28
127124,0.75
128128,0.32
129133,-0.1
130137,0.88
131139,0.36
