timestamp_ms,relative_pitch_deg
1074,0.0
3075,0.64
4075,1.15
5075,1.46
6076,2.74
7076,1.08
8076,1.55
9076,1.84
10076,0.65
11076,0.33999999999999997
12076,0.51
13076,0.45999999999999996
14076,0.04999999999999999
15077,0.3
16078,0.38
17078,0.6599999999999999
18078,-0.020000000000000018
19078,0.35
20078,0.29
21078,0.23
22078,0.88
23078,-0.09999999999999998
24078,0.91
25078,0.55
26078,0.83
27078,0.73
28078,0.29
29078,1.05
30078,0.86
31078,0.76
32079,1.17
33079,1.4
34079,1.02
35079,0.83
36079,0.23
37080,1.19
38080,1.29
39080,0.79
40080,1.15
41081,1.02
42081,1.22
43081,1.22
44081,0.6799999999999999
45082,0.42000000000000004
46082,0.33
47083,0.74
48083,0.84
49083,0.5900000000000001
50083,0.97
51083,0.69
52084,1.0899999999999999
53084,1.31
54084,1.55
55084,1.0899999999999999
56084,1.39
57084,1.73
58084,1.41
59085,1.25
60085,0.91
61085,1.41
62085,1.19
63085,1.2
64086,1.61
65086,1.02
66087,1.34
67087,1.34
68087,0.95
69087,1.32
70087,1.44
71088,1.33
72088,1.67
73088,1.7
74089,1.47
75089,1.58
76089,1.32
77089,1.42
78089,1.24
79089,1.6
80090,1.69
81090,1.44
82092,1.36
83092,0.89
84093,1.6
85093,1.2
86094,1.77
87094,1.36
88094,1.53
89095,1.47
90095,1.46
91095,1.78
92095,1.31
93095,1.78
94095,2.0700000000000003
95095,2.0300000000000002
96096,1.92
97097,1.17
98097,1.4
99097,1.27
100098,0.92
101098,1.41
102098,1.28
103099,1.03
104099,1.29
105099,1.44
106099,1.57
107099,1.58
108100,1.27
109100,1.03
110100,1.2
111100,1.19
112100,0.39
113100,38.04
