timestamp_ms,relative_pitch_deg
6,0.0
1697,0.52
2703,-0.30999999999999994
3709,-0.67
4707,-18.509999999999998
5710,-17.78
6713,-17.13
7717,-16.02
8721,-17.48
9725,-16.46
10727,-16.0
11732,-16.27
12736,-16.32
13737,-15.989999999999998
14741,-16.48
15743,-17.46
16747,-17.58
17754,-17.18
18755,-15.1
19758,-12.07
20762,-13.29
21766,-13.83
22769,-13.889999999999999
23773,-14.43
24775,-14.059999999999999
25778,-12.049999999999999
26781,-14.04
27787,-13.139999999999999
28788,-13.639999999999999
29793,-14.7
30797,-14.2
31800,-14.27
32804,-14.19
33807,-13.24
34810,-13.959999999999999
35812,-13.99
36816,-13.84
37819,-13.85
38824,-14.75
39826,-14.129999999999999
40830,-13.95
41836,-14.799999999999999
42837,-14.04
43842,-13.82
44843,-14.299999999999999
45846,-13.729999999999999
46852,-16.419999999999998
47854,-14.95
48857,-15.07
49860,-14.03
50865,-14.58
51869,-14.53
52872,-14.6
53875,-14.44
54879,-14.139999999999999
55883,-14.79
56887,-14.12
57889,-14.16
58893,-14.639999999999999
59895,-13.979999999999999
60898,-14.08
61902,-14.709999999999999
62904,-14.49
63908,-14.149999999999999
64911,-14.0
65915,-14.209999999999999
66918,-14.219999999999999
67920,-14.32
68924,-13.99
69927,-14.649999999999999
70932,-14.58
71936,-13.799999999999999
72937,-14.27
73941,-15.059999999999999
74946,-15.04
75949,-15.669999999999998
76953,-15.2
77955,-14.719999999999999
78958,-13.649999999999999
79961,-13.77
80965,-14.129999999999999
81969,-17.009999999999998
82972,-14.66
83976,-15.43
84979,-13.75
85982,-14.94
86987,-16.63
87989,-15.57
88993,-16.009999999999998
89994,-15.96
90999,-14.62
92002,-15.829999999999998
93004,-14.93
94009,-15.57
95013,-15.219999999999999
96018,-15.469999999999999
97019,-15.61
98023,-14.889999999999999
99026,-14.75
100029,-14.93
101034,-14.959999999999999
102037,-15.55
103041,-15.19
104042,-14.87
105045,-14.549999999999999
106048,-14.889999999999999
107053,-15.01
108055,-15.48
109059,-15.419999999999998
110063,-15.049999999999999
111068,-16.2
112070,-15.61
113073,-15.43
114076,-15.71
115080,-14.799999999999999
116085,-15.89
117085,-15.98
118089,-15.61
119093,-15.82
120095,-15.66
121102,-15.34
122102,-14.799999999999999
123106,-15.34
124107,-15.439999999999998
